ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
430,16-25,female,majority,0-9y,university,upper class,0.265881,0,before 2015,1,0,10015,8504,sedan,0,0,0,0
431,16-25,male,minority,0-9y,none,middle class,0.507773,0,before 2015,0,1,10048,24923,sedan,0,0,0,0
432,40-64,male,majority,20-29y,university,middle class,0.647576,0,after 2015,1,0,10022,8810,sedan,4,0,1,0
433,40-64,female,majority,0-9y,high school,upper class,0.135339,1,after 2015,1,1,10009,22393,sports car,1,0,0,0
434,16-25,male,minority,0-9y,none,working class,0.544907,1,before 2015,1,1,10022,20819,sports car,0,1,0,1
435,16-25,female,majority,30y+,high school,poverty,0.471666,1,before 2015,0,1,10015,24175,sports car,0,0,0,0
436,40-64,male,majority,30y+,university,working class,0.336648,1,after 2015,1,0,10007,23795,sedan,2,1,1,0
437,16-25,male,majority,0-9y,none,poverty,0.623538,0,before 2015,0,1,10022,15380,sedan,2,1,1,1
438,40-64,male,minority,20-29y,none,poverty,0.636216,0,before 2015,1,1,10238,24885,sedan,3,0,0,0
439,40-64,male,majority,0-9y,university,upper class,0.97147,0,after 2015,1,0,10015,23151,sports car,1,0,1,0
440,16-25,male,majority,10-19y,university,upper class,0.428305,1,after 2015,0,0,10009,14614,sedan,0,0,2,0
441,16-25,female,majority,20-29y,high school,middle class,0.531267,1,after 2015,0,0,10032,14462,sedan,0,1,5,1
442,65+,female,majority,20-29y,university,middle class,0.157503,1,after 2015,1,1,10022,19565,sports car,0,0,0,0
443,26-39,female,majority,0-9y,university,poverty,0.548362,1,after 2015,1,0,10048,15086,sedan,1,3,2,1
444,26-39,female,minority,10-19y,university,middle class,0.036086,0,before 2015,0,1,10068,23008,sports car,3,0,2,1
445,40-64,male,majority,0-9y,high school,working class,0.149878,1,before 2015,0,0,10032,7149,sedan,4,1,2,1
446,65+,female,minority,30y+,high school,working class,0.171247,0,before 2015,0,0,10032,24012,sports car,1,0,1,0
447,65+,male,majority,20-29y,university,working class,0.632639,0,after 2015,1,1,10032,24684,sedan,0,2,0,0
448,40-64,female,majority,10-19y,none,middle class,0.567295,0,before 2015,1,0,10022,24838,sedan,0,2,0,0
449,26-39,male,majority,0-9y,university,poverty,0.798037,0,after 2015,1,1,10068,18565,sports car,4,2,0,1
450,16-25,female,minority,20-29y,high school,poverty,0.464399,0,after 2015,0,1,10068,5454,sports car,0,0,2,0
451,40-64,female,minority,20-29y,high school,middle class,0.474856,0,after 2015,1,1,10065,20891,sedan,3,1,2,0
452,40-64,female,minority,30y+,university,middle class,0.161556,1,before 2015,0,0,10009,20169,sports car,4,0,0,0
453,26-39,female,minority,10-19y,none,working class,0.742701,0,after 2015,1,1,10009,8140,sports car,4,1,1,1
454,65+,female,minority,30y+,none,poverty,0.003653,1,before 2015,0,1,10007,10685,sedan,0,0,0,0
455,16-25,female,majority,10-19y,university,upper class,0.424891,0,before 2015,1,1,10022,9062,sports car,0,0,2,0
456,26-39,male,majority,10-19y,high school,poverty,0.188325,0,before 2015,0,0,10015,23388,sedan,1,2,0,0
457,16-25,male,majority,10-19y,university,middle class,0.77101,1,after 2015,0,0,10065,11936,sports car,0,0,5,1
458,26-39,male,majority,10-19y,none,poverty,0.673391,1,after 2015,1,0,10238,23929,sedan,0,1,0,0
459,16-25,male,majority,30y+,high school,middle class,0.706769,0,after 2015,0,1,10022,12349,sedan,1,0,0,0
460,16-25,female,majority,20-29y,high school,middle class,0.148578,1,after 2015,0,0,10015,12389,sedan,4,0,2,1
461,16-25,male,majority,20-29y,university,upper class,0.668814,0,after 2015,1,0,10007,11610,sedan,1,0,1,0
462,40-64,female,majority,0-9y,high school,working class,0.690894,0,before 2015,1,1,10007,21742,sedan,1,0,2,0
463,40-64,female,majority,0-9y,high school,poverty,0.002637,1,after 2015,0,0,10022,9177,sports car,2,0,5,1
464,40-64,female,majority,10-19y,university,upper class,0.317601,0,before 2015,0,1,10081,18798,sports car,0,0,0,0
465,65+,male,minority,20-29y,university,working class,0.087288,0,before 2015,0,1,10032,6575,sedan,1,0,0,0
466,26-39,male,majority,20-29y,university,upper class,0.681394,1,before 2015,1,0,10238,24935,sedan,2,2,0,0
467,26-39,male,majority,0-9y,high school,middle class,0.212109,1,after 2015,0,1,10022,14676,sedan,1,0,3,0
468,65+,male,minority,0-9y,high school,middle class,0.264659,1,after 2015,0,0,10068,7497,sedan,2,1,1,0
469,26-39,female,majority,10-19y,university,upper class,0.078329,0,after 2015,0,1,10022,14147,sports car,3,0,1,1
470,65+,female,majority,30y+,university,middle class,0.483807,1,before 2015,1,1,10048,6586,sedan,1,2,0,0
471,16-25,female,majority,10-19y,university,middle class,0.033033,0,after 2015,1,0,10048,18656,sedan,2,0,3,1
472,65+,female,majority,10-19y,university,middle class,0.845592,1,after 2015,0,1,10048,14831,sedan,1,0,0,0
473,16-25,female,majority,10-19y,university,middle class,0.026366,1,after 2015,1,0,10048,7489,sedan,3,0,0,0
474,65+,male,majority,0-9y,none,middle class,0.06164,0,before 2015,1,1,10081,17201,sports car,1,1,1,1
475,40-64,female,majority,10-19y,university,middle class,0.640407,1,before 2015,1,1,10032,10803,sports car,2,0,0,0
476,65+,male,minority,20-29y,university,middle class,0.916934,1,before 2015,1,0,10068,23843,sedan,0,1,0,0
477,16-25,male,majority,30y+,university,middle class,0.892121,0,after 2015,1,0,10007,18108,sedan,0,0,3,0
478,40-64,male,majority,10-19y,university,middle class,0.083631,0,after 2015,0,0,10068,13110,sedan,1,0,5,0
479,65+,male,majority,0-9y,high school,poverty,0.288447,0,after 2015,1,0,10015,7784,sports car,1,0,2,1
480,40-64,male,majority,20-29y,university,poverty,0.521037,1,before 2015,1,1,10009,18986,sedan,0,0,0,0
481,40-64,male,minority,20-29y,none,poverty,0.026624,0,before 2015,1,1,10015,14455,sedan,1,0,1,0
482,40-64,female,majority,0-9y,high school,working class,0.528643,0,after 2015,1,0,10032,19981,sedan,2,1,2,1
483,26-39,female,minority,30y+,high school,upper class,0.447766,0,before 2015,1,1,10238,17976,sedan,0,0,1,0
484,40-64,male,majority,30y+,university,middle class,0.588411,0,after 2015,1,1,10015,17446,sports car,0,1,3,0
485,40-64,male,minority,10-19y,university,upper class,0.920315,0,after 2015,0,1,10065,19689,sedan,4,0,0,0
486,65+,female,majority,20-29y,university,poverty,0.274619,1,before 2015,1,1,10022,12111,sports car,0,0,4,0
487,16-25,male,majority,20-29y,none,middle class,0.639097,1,before 2015,1,1,10065,24347,sedan,0,0,3,0
488,26-39,female,minority,20-29y,high school,working class,0.429832,1,after 2015,1,1,10007,23725,sedan,2,0,4,0
489,65+,female,minority,0-9y,university,poverty,0.435129,1,before 2015,0,1,10048,19347,sports car,0,0,0,0
490,65+,male,majority,0-9y,none,upper class,0.647271,0,after 2015,0,1,10048,7394,sports car,1,0,1,0
491,26-39,male,minority,0-9y,high school,working class,0.951336,1,after 2015,0,1,10022,21275,sedan,2,0,0,0
492,40-64,male,majority,20-29y,university,working class,0.863032,0,before 2015,0,0,10015,11473,sports car,0,0,1,0
493,26-39,male,majority,10-19y,none,working class,0.639522,0,after 2015,1,1,10015,7693,sports car,0,3,2,1
494,26-39,male,majority,10-19y,none,middle class,0.461538,0,before 2015,0,0,10007,18433,sedan,1,0,0,0
495,26-39,female,minority,20-29y,high school,middle class,0.423992,1,before 2015,0,1,10009,20473,sedan,0,0,1,0
496,26-39,male,minority,10-19y,university,working class,0.787133,0,after 2015,0,0,10068,22188,sedan,3,0,3,1
497,40-64,female,majority,20-29y,university,working class,0.218221,1,before 2015,0,1,10009,7395,sedan,2,2,4,1
498,16-25,female,majority,10-19y,university,poverty,0.587667,0,after 2015,1,0,10032,9117,sedan,1,0,2,0
499,65+,male,majority,10-19y,university,poverty,0.504954,1,after 2015,0,1,10065,23035,sports car,0,0,2,0
500,65+,male,majority,10-19y,high school,upper class,0.649354,1,after 2015,1,1,10022,9434,sedan,2,2,2,1
501,40-64,male,majority,30y+,university,upper class,0.187421,1,before 2015,1,1,10065,16837,sedan,0,0,1,0
502,40-64,male,majority,20-29y,high school,upper class,0.695757,1,after 2015,0,1,10238,8724,sedan,4,2,1,0
503,26-39,female,majority,0-9y,high school,upper class,0.627,1,before 2015,1,0,10065,7707,sedan,0,0,1,0
504,40-64,male,majority,30y+,high school,upper class,0.180146,1,after 2015,0,0,10009,9806,sedan,1,1,1,0
505,40-64,female,majority,20-29y,university,upper class,0.449622,1,after 2015,0,0,10015,9565,sedan,0,1,0,0
506,26-39,male,minority,0-9y,university,upper class,0.678619,1,after 2015,1,0,10009,8913,sports car,2,0,0,0
507,65+,male,majority,0-9y,high school,upper class,0.901604,0,before 2015,1,0,10015,6943,sedan,2,2,2,1
508,40-64,male,majority,10-19y,high school,middle class,0.1221,0,before 2015,0,1,10065,6428,sports car,2,3,1,1
509,65+,female,majority,20-29y,university,working class,0.008739,0,after 2015,1,0,10048,11328,sedan,2,2,1,1
510,40-64,male,majority,20-29y,none,middle class,0.165154,1,after 2015,1,0,10238,11525,sedan,0,0,2,0
511,40-64,male,majority,10-19y,university,middle class,0.989274,0,after 2015,1,1,10238,20599,sedan,1,0,1,0
512,26-39,female,minority,10-19y,high school,middle class,0.76837,0,after 2015,1,0,10068,21617,sedan,0,3,1,1
513,65+,male,minority,0-9y,high school,middle class,0.614369,0,after 2015,1,0,10009,8007,sedan,1,0,2,0
514,65+,male,minority,0-9y,high school,middle class,0.133013,0,before 2015,1,0,10032,20853,sedan,1,0,0,0
515,16-25,female,majority,10-19y,high school,poverty,0.416046,0,after 2015,1,1,10022,10354,sedan,2,0,0,0
516,16-25,male,majority,10-19y,university,working class,0.715239,1,after 2015,1,1,10032,14960,sports car,0,0,2,0
517,26-39,female,majority,10-19y,university,upper class,0.895884,0,after 2015,0,1,10238,6719,sports car,0,0,0,0
518,40-64,female,minority,30y+,high school,middle class,0.381823,0,before 2015,1,1,10065,12966,sedan,0,0,5,1
519,65+,female,minority,0-9y,university,working class,0.99969,0,after 2015,0,0,10238,6059,sedan,3,0,0,0
520,26-39,female,majority,0-9y,university,upper class,0.139736,0,after 2015,1,1,10238,5136,sedan,1,0,1,0
521,40-64,female,majority,0-9y,high school,working class,0.386936,0,after 2015,0,1,10007,23646,sedan,3,0,1,0
522,26-39,female,minority,10-19y,high school,working class,0.875397,0,after 2015,1,1,10238,20972,sedan,0,0,1,0
523,65+,female,majority,20-29y,university,working class,0.649916,0,before 2015,1,1,10007,9256,sedan,0,2,2,1
524,40-64,male,minority,20-29y,none,upper class,0.810919,0,before 2015,0,0,10068,10678,sedan,0,0,3,0
525,40-64,male,minority,10-19y,high school,middle class,0.907799,0,after 2015,1,1,10032,7566,sedan,2,0,2,0
526,26-39,female,majority,10-19y,university,middle class,0.507316,1,after 2015,0,0,10015,8014,sedan,1,0,0,0
527,26-39,female,minority,10-19y,university,upper class,0.234747,0,before 2015,0,0,10022,16645,sports car,2,0,1,0
528,26-39,male,minority,10-19y,high school,upper class,0.693707,1,before 2015,0,0,10048,16526,sedan,0,0,0,0
529,16-25,female,minority,20-29y,high school,middle class,0.56348,1,before 2015,1,0,10009,16275,sedan,1,0,3,0
530,65+,male,majority,0-9y,high school,upper class,0.772649,0,before 2015,0,1,10009,5738,sports car,1,0,3,1
531,40-64,female,majority,20-29y,high school,middle class,0.511714,0,after 2015,1,1,10081,18712,sedan,1,0,1,0
532,65+,female,majority,20-29y,high school,middle class,0.811111,1,after 2015,0,1,10065,5514,sports car,0,0,5,1
533,65+,female,majority,10-19y,none,working class,0.902017,0,after 2015,1,1,10015,24811,sedan,2,0,2,0
534,40-64,male,majority,10-19y,high school,working class,0.749583,0,before 2015,1,0,10238,21615,sedan,1,1,0,0
535,40-64,female,majority,30y+,university,poverty,0.743655,1,before 2015,1,1,10007,23492,sedan,1,0,0,0
536,65+,male,minority,0-9y,none,upper class,0.587189,1,before 2015,0,0,10015,20920,sedan,0,0,2,0
537,40-64,male,majority,0-9y,none,poverty,0.471642,1,before 2015,1,0,10009,11366,sedan,0,0,0,0
538,26-39,male,majority,10-19y,none,working class,0.972588,1,before 2015,1,0,10007,8917,sports car,0,0,5,1
539,26-39,female,majority,20-29y,high school,working class,0.645113,1,after 2015,0,1,10081,14840,sedan,1,0,1,0
540,16-25,male,minority,0-9y,high school,middle class,0.840357,0,after 2015,0,1,10022,20910,sedan,0,0,1,0
541,65+,male,majority,30y+,high school,working class,0.505409,1,before 2015,1,1,10048,15518,sedan,0,0,0,0
542,40-64,female,majority,20-29y,high school,upper class,0.554858,1,before 2015,1,0,10007,11004,sports car,2,0,2,0
543,26-39,female,minority,30y+,high school,upper class,0.662889,1,before 2015,0,0,10032,10226,sedan,2,0,0,0
544,40-64,female,majority,10-19y,university,upper class,0.728552,1,after 2015,1,1,10009,14698,sedan,1,0,1,0
545,40-64,female,majority,30y+,high school,middle class,0.448356,0,after 2015,1,1,10015,12979,sedan,0,0,4,0
546,26-39,male,minority,10-19y,none,upper class,0.356315,0,after 2015,0,1,10238,17517,sedan,1,0,3,0
547,16-25,female,minority,10-19y,high school,working class,0.23942,0,after 2015,1,1,10032,5255,sports car,0,0,2,0
548,40-64,female,majority,30y+,university,middle class,0.423645,1,before 2015,1,1,10048,17648,sedan,3,0,0,0
549,40-64,male,minority,0-9y,university,working class,0.211238,0,before 2015,1,0,10238,14502,sedan,5,1,1,1
550,40-64,male,minority,30y+,high school,upper class,0.416762,1,before 2015,1,0,10048,21007,sports car,0,0,5,1
551,40-64,male,majority,10-19y,high school,working class,0.874659,0,before 2015,1,0,10022,10742,sedan,2,0,1,0
552,65+,male,majority,30y+,high school,middle class,0.97707,1,after 2015,0,1,10048,20694,sedan,0,2,0,0
553,40-64,female,majority,10-19y,high school,middle class,0.577102,1,before 2015,0,0,10022,24125,sedan,1,1,1,0
554,40-64,female,majority,20-29y,high school,middle class,0.146005,0,after 2015,0,0,10015,14076,sports car,2,0,0,0
555,65+,female,majority,0-9y,high school,poverty,0.427556,0,after 2015,1,1,10022,12306,sedan,2,0,0,0
556,26-39,male,minority,10-19y,high school,middle class,0.602077,0,after 2015,1,1,10032,22112,sedan,4,0,4,1
557,16-25,male,majority,20-29y,none,middle class,0.370772,0,before 2015,1,0,10238,9711,sports car,4,0,1,0
558,16-25,female,minority,20-29y,high school,working class,0.205156,1,before 2015,1,1,10007,19655,sedan,1,0,0,0
559,40-64,male,majority,0-9y,university,middle class,0.226824,1,before 2015,0,1,10009,16453,sports car,3,0,0,1
560,40-64,female,majority,10-19y,none,upper class,0.473929,1,after 2015,1,1,10068,13627,sedan,5,0,0,0
561,40-64,male,majority,10-19y,university,upper class,0.216429,0,before 2015,1,1,10015,8843,sedan,1,2,2,1
562,26-39,female,majority,0-9y,high school,working class,0.249523,0,before 2015,1,1,10081,5267,sports car,2,0,2,0
563,16-25,male,majority,10-19y,high school,poverty,0.873084,0,after 2015,1,1,10009,15767,sedan,0,1,0,0
564,16-25,male,minority,30y+,university,working class,0.77906,0,before 2015,1,0,10007,6158,sedan,5,0,1,1
565,26-39,male,majority,10-19y,high school,middle class,0.055313,0,before 2015,0,1,10065,7131,sedan,4,0,0,0
566,40-64,female,majority,10-19y,high school,upper class,0.320177,0,before 2015,1,0,10032,17088,sedan,1,0,0,0
567,26-39,female,minority,30y+,high school,upper class,0.531933,0,before 2015,0,1,10032,9814,sedan,1,0,1,0
568,26-39,male,majority,0-9y,none,upper class,0.060609,1,after 2015,1,1,10009,18784,sedan,1,0,1,0
569,65+,female,majority,20-29y,high school,middle class,0.683171,1,after 2015,1,1,10032,7961,sedan,2,0,0,0
570,26-39,female,majority,20-29y,high school,middle class,0.384445,0,before 2015,1,0,10009,6409,sedan,2,2,1,0
571,40-64,female,minority,20-29y,none,poverty,0.397178,1,after 2015,0,1,10068,15480,sports car,1,0,1,0
572,40-64,female,majority,20-29y,high school,working class,0.265327,0,after 2015,1,0,10032,9770,sedan,0,0,2,0
573,26-39,male,majority,20-29y,none,upper class,0.333929,0,before 2015,1,1,10048,13541,sedan,1,0,0,0
574,40-64,male,majority,0-9y,high school,middle class,0.86169,1,after 2015,0,0,10081,7184,sedan,1,0,0,0
575,65+,female,minority,10-19y,university,middle class,0.788603,0,after 2015,1,1,10065,10854,sports car,1,0,4,1
576,65+,female,majority,20-29y,none,poverty,0.935772,1,before 2015,0,0,10068,6185,sports car,0,0,4,1
577,16-25,female,minority,0-9y,university,working class,0.698997,1,after 2015,1,0,10065,21215,sedan,3,0,0,0
578,65+,female,minority,0-9y,university,middle class,0.577872,0,after 2015,0,0,10032,5087,sports car,0,0,2,0
579,26-39,male,majority,30y+,high school,upper class,0.259256,1,before 2015,1,1,10068,24192,sedan,1,2,1,0
580,26-39,female,minority,20-29y,high school,poverty,0.666855,0,after 2015,1,0,10068,10445,sports car,1,3,2,1
581,26-39,male,minority,10-19y,high school,working class,0.906158,0,after 2015,1,1,10081,6559,sedan,0,2,3,0
582,65+,female,majority,30y+,high school,middle class,0.069166,0,after 2015,0,0,10048,22104,sports car,3,0,1,0
583,26-39,male,majority,20-29y,university,working class,0.44307,1,after 2015,1,0,10065,18368,sports car,0,2,4,1
584,26-39,female,majority,30y+,high school,working class,0.149361,0,after 2015,0,0,10048,22056,sports car,0,2,1,0
585,40-64,female,majority,30y+,none,working class,0.810616,0,after 2015,1,1,10032,15924,sedan,4,0,0,0
586,26-39,male,minority,10-19y,none,middle class,0.614098,0,after 2015,1,1,10032,10154,sports car,0,0,2,0
587,16-25,male,majority,20-29y,university,middle class,0.879649,0,before 2015,1,0,10032,6971,sedan,2,0,3,1
588,16-25,female,majority,20-29y,high school,upper class,0.0631,0,after 2015,1,0,10048,15941,sports car,4,1,3,1
589,16-25,female,minority,30y+,university,middle class,0.905731,1,before 2015,0,0,10048,17947,sports car,0,3,4,1
590,26-39,male,majority,20-29y,university,middle class,0.067197,1,before 2015,1,0,10065,13936,sports car,2,0,2,0
591,16-25,female,majority,0-9y,none,working class,0.287606,1,after 2015,0,1,10007,11648,sports car,0,3,0,1
592,40-64,female,minority,0-9y,high school,middle class,0.156166,1,after 2015,1,0,10007,21975,sports car,3,3,1,1
593,26-39,male,majority,10-19y,high school,middle class,0.145386,1,before 2015,0,1,10007,17800,sedan,3,0,1,0
594,26-39,male,minority,30y+,high school,working class,0.17167,1,before 2015,1,0,10007,8030,sedan,1,1,3,0
595,65+,female,majority,30y+,university,middle class,0.480218,0,before 2015,0,1,10238,23352,sedan,1,0,0,0
596,26-39,female,majority,10-19y,none,working class,0.784362,1,after 2015,1,1,10048,8418,sports car,1,1,0,0
597,40-64,female,majority,20-29y,high school,middle class,0.898277,1,after 2015,1,1,10032,22843,sedan,3,0,1,0
598,26-39,female,majority,30y+,high school,middle class,0.566877,0,before 2015,1,1,10009,5838,sedan,0,1,0,0
599,26-39,male,minority,10-19y,high school,middle class,0.157752,1,after 2015,1,0,10007,24417,sedan,0,0,0,0
600,16-25,male,minority,0-9y,high school,upper class,0.079191,1,after 2015,0,0,10081,15016,sports car,0,0,2,1
601,26-39,male,minority,10-19y,high school,upper class,0.49413,1,after 2015,1,0,10065,7462,sports car,2,0,1,0
602,26-39,male,majority,30y+,high school,upper class,0.76538,1,after 2015,1,0,10081,7164,sedan,1,2,0,0
603,26-39,female,minority,20-29y,high school,upper class,0.620161,1,before 2015,1,1,10007,13358,sports car,1,0,1,0
604,16-25,female,minority,10-19y,high school,poverty,0.582782,1,after 2015,1,1,10007,13470,sedan,1,0,0,0
605,16-25,male,majority,0-9y,high school,working class,0.048155,1,after 2015,0,1,10065,16619,sports car,3,0,1,1
606,26-39,male,minority,20-29y,high school,poverty,0.411545,0,after 2015,0,1,10081,12145,sedan,0,0,0,0
607,26-39,female,majority,30y+,high school,working class,0.550384,1,after 2015,0,0,10015,15184,sedan,1,0,0,0
608,26-39,female,majority,20-29y,high school,working class,0.598292,1,before 2015,0,0,10238,17084,sports car,1,0,2,0
609,40-64,female,minority,10-19y,high school,upper class,0.004808,1,after 2015,1,0,10081,22240,sports car,0,3,1,1
610,40-64,female,majority,0-9y,none,middle class,0.199555,1,before 2015,1,1,10068,24178,sedan,1,1,2,0
611,16-25,female,majority,30y+,high school,middle class,0.949786,1,before 2015,0,1,10032,22663,sedan,2,0,2,0
612,40-64,female,majority,10-19y,none,working class,0.508644,1,before 2015,1,0,10065,6636,sports car,1,1,2,0
613,40-64,male,minority,0-9y,high school,middle class,0.703642,1,after 2015,0,0,10015,11028,sedan,0,0,4,0
614,16-25,male,majority,30y+,high school,upper class,0.308187,1,after 2015,0,0,10238,7595,sedan,1,0,3,1
615,65+,male,majority,30y+,high school,working class,0.585372,1,before 2015,1,0,10009,16802,sedan,0,0,1,0
616,65+,male,majority,20-29y,high school,upper class,0.356467,0,after 2015,1,1,10081,19332,sedan,0,0,0,0
617,16-25,female,majority,20-29y,high school,working class,0.296959,1,before 2015,1,0,10068,19215,sedan,0,0,0,0
618,26-39,female,minority,10-19y,university,upper class,0.411398,0,after 2015,0,0,10009,14105,sedan,1,0,0,0
619,40-64,male,majority,0-9y,high school,poverty,0.459828,0,after 2015,0,0,10032,17155,sports car,1,0,3,1
620,40-64,male,majority,0-9y,none,middle class,0.331148,1,after 2015,1,1,10015,10602,sedan,2,2,3,1
621,26-39,male,majority,20-29y,none,upper class,0.25799,1,after 2015,0,0,10015,18471,sports car,3,0,2,0
622,26-39,male,minority,0-9y,high school,middle class,0.62382,1,after 2015,1,0,10009,8098,sedan,3,0,3,0
623,26-39,female,majority,30y+,high school,middle class,0.380732,1,before 2015,1,0,10081,7038,sedan,0,0,4,0
624,26-39,female,minority,0-9y,none,middle class,0.201826,1,after 2015,1,0,10032,12470,sedan,0,0,0,0
625,40-64,female,majority,10-19y,high school,working class,0.758368,1,after 2015,1,1,10065,20669,sedan,1,0,0,0
626,26-39,female,majority,10-19y,university,poverty,0.723742,0,before 2015,0,0,10015,10258,sedan,4,0,1,0
627,26-39,female,minority,20-29y,none,working class,0.886816,0,after 2015,1,1,10009,8974,sedan,1,0,0,0
628,40-64,female,minority,10-19y,university,working class,0.555019,1,after 2015,0,0,10007,23114,sports car,1,1,0,0
629,16-25,male,minority,30y+,university,upper class,0.279437,0,after 2015,1,0,10022,16383,sedan,1,1,0,0
630,26-39,female,minority,10-19y,university,upper class,0.863708,1,before 2015,1,1,10015,8909,sports car,0,0,2,0
631,40-64,female,minority,20-29y,university,working class,0.280301,1,before 2015,0,1,10022,8739,sedan,0,0,0,0
632,65+,female,minority,20-29y,none,upper class,0.655601,1,after 2015,0,0,10065,7357,sedan,0,0,0,0
633,40-64,male,minority,0-9y,high school,working class,0.190393,1,after 2015,0,1,10032,7477,sports car,1,1,4,1
634,40-64,male,majority,20-29y,none,working class,0.629175,1,after 2015,0,1,10065,21056,sedan,1,2,0,0
635,16-25,male,majority,20-29y,none,middle class,0.840857,1,before 2015,1,1,10081,21061,sedan,0,0,2,0
636,26-39,female,majority,30y+,high school,working class,0.539944,1,before 2015,0,0,10238,24072,sedan,2,0,3,0
637,40-64,male,minority,30y+,university,poverty,0.470888,1,after 2015,0,1,10022,10948,sedan,0,1,2,0
638,26-39,female,majority,0-9y,high school,middle class,0.993473,0,after 2015,1,0,10065,16465,sports car,1,0,1,0
639,26-39,female,minority,0-9y,high school,upper class,0.022452,1,after 2015,1,1,10068,15743,sports car,1,0,2,1
640,26-39,male,majority,10-19y,university,middle class,0.331732,0,after 2015,0,1,10238,7043,sedan,0,0,2,0
641,16-25,female,majority,30y+,none,working class,0.918598,1,after 2015,0,0,10048,15487,sports car,0,3,1,0
642,26-39,female,majority,0-9y,high school,working class,0.642643,1,after 2015,0,1,10238,9239,sedan,2,1,4,1
643,26-39,male,majority,20-29y,high school,middle class,0.542097,0,after 2015,1,1,10068,9869,sports car,0,0,4,0
644,26-39,female,majority,20-29y,university,middle class,0.637692,1,before 2015,1,0,10238,21422,sedan,3,3,2,1
645,16-25,male,majority,20-29y,high school,upper class,0.321941,1,before 2015,1,1,10068,10968,sports car,4,1,3,1
646,65+,male,minority,0-9y,university,upper class,0.071168,1,after 2015,1,1,10081,20589,sedan,4,0,3,1
647,40-64,female,majority,0-9y,none,upper class,0.275148,1,before 2015,1,0,10009,6264,sedan,1,0,3,0
648,40-64,female,majority,10-19y,university,middle class,0.336496,0,after 2015,0,1,10022,15829,sedan,0,1,3,0
649,40-64,female,majority,0-9y,high school,working class,0.479865,0,after 2015,0,0,10015,17927,sedan,1,0,0,0
650,26-39,female,minority,0-9y,university,middle class,0.393897,1,after 2015,1,0,10032,20754,sports car,5,3,1,1
651,16-25,female,majority,0-9y,university,middle class,0.521002,0,before 2015,1,1,10032,20290,sedan,0,0,1,1
652,40-64,female,majority,20-29y,high school,working class,0.196081,1,before 2015,1,1,10032,10199,sports car,0,0,1,0
653,40-64,female,majority,10-19y,high school,middle class,0.184048,0,after 2015,1,0,10048,17910,sports car,0,2,3,1
654,40-64,female,majority,10-19y,none,working class,0.351712,1,before 2015,0,0,10081,8611,sedan,4,2,2,1
655,26-39,male,minority,10-19y,high school,upper class,0.473715,0,after 2015,1,1,10015,8192,sports car,1,0,0,0
656,16-25,female,minority,0-9y,university,working class,0.341729,0,after 2015,1,0,10048,8894,sedan,0,0,0,0
657,26-39,male,majority,10-19y,none,upper class,0.576562,1,before 2015,1,1,10015,9147,sedan,1,0,0,0
658,26-39,female,majority,0-9y,university,working class,0.310006,1,before 2015,0,0,10032,8070,sports car,0,0,0,0
659,40-64,male,majority,20-29y,university,middle class,0.177169,0,after 2015,0,1,10238,11630,sedan,2,1,4,1
660,40-64,female,majority,0-9y,high school,working class,0.862828,0,before 2015,1,0,10238,19248,sedan,0,0,0,0
661,26-39,male,minority,30y+,high school,middle class,0.200602,1,after 2015,0,0,10015,20704,sedan,2,0,1,0
662,65+,male,majority,0-9y,high school,working class,0.966641,1,after 2015,1,1,10015,11925,sedan,0,0,0,0
663,40-64,female,majority,30y+,high school,middle class,0.987404,0,after 2015,1,0,10009,19545,sports car,5,0,1,1
664,26-39,male,majority,30y+,high school,poverty,0.696804,1,after 2015,0,0,10068,20417,sedan,1,0,2,0
665,16-25,female,minority,20-29y,high school,middle class,0.502001,0,before 2015,0,0,10032,12742,sports car,0,1,3,1
666,26-39,male,minority,30y+,university,upper class,0.795419,1,after 2015,1,0,10238,24897,sedan,0,2,2,0
667,26-39,male,minority,0-9y,high school,middle class,0.873203,0,after 2015,0,0,10048,16051,sedan,0,0,3,0
668,26-39,male,majority,0-9y,high school,poverty,0.709592,0,after 2015,1,1,10068,19022,sports car,5,1,0,1
669,26-39,female,majority,10-19y,high school,middle class,0.102045,0,before 2015,1,0,10009,7011,sports car,2,0,1,0
670,26-39,male,majority,0-9y,university,upper class,0.002988,1,after 2015,0,1,10007,16286,sedan,3,1,1,1
671,26-39,female,majority,10-19y,high school,middle class,0.191901,1,after 2015,1,0,10065,19656,sedan,1,0,0,0
672,65+,male,majority,20-29y,high school,poverty,0.188532,1,before 2015,1,1,10081,15635,sedan,4,1,0,0
673,16-25,male,majority,0-9y,university,working class,0.182517,1,before 2015,1,0,10015,21968,sports car,1,1,0,1
674,40-64,male,majority,10-19y,university,middle class,0.509772,0,after 2015,0,0,10081,6478,sedan,0,1,0,0
675,26-39,male,minority,0-9y,university,working class,0.520084,0,after 2015,1,0,10048,22745,sedan,2,0,0,0
676,65+,female,majority,20-29y,university,middle class,0.723022,1,before 2015,1,1,10009,20412,sedan,2,0,1,0
